,college,draft_rank,draft_year,height_in,name,reach_in,weight_lb,wingspan_in
381,University of Montana,28,1986,,Larry Krystkowiak,,,
382,University of Richmond,29,1986,,Johnny Newman,,,
383,North Carolina State University,30,1986,,Nate McMillan,,,
384,University of Georgia,32,1986,,Cedric Henderson,,,
385,Eastern Illinois University,33,1986,,Kevin Duckworth,,,
386,"University of California, Irvine",34,1986,,Johnny Rogers,,,
387,University of Louisville,35,1986,,Milt Wagner,,,
388,Syracuse University,39,1986,,Rafael Addison,,,
389,Jacksonville University,41,1986,,Otis Smith,,,
390,University of Texas at El Paso,43,1986,,Dave Feitl,,,
391,Georgetown University,44,1986,,David Wingate,,,
392,Loyola Marymount University,45,1986,,Keith Smith,,,
393,Iowa State University,46,1986,,Jeff Hornacek,,,
394,Georgetown University,47,1986,,Michael Jackson,,,
395,Loyola Marymount University,48,1986,,Forrest McKenzie,,,
396,"California State University, Fullerton",50,1986,,Kevin Henderson,,,
397,Bradley University,51,1986,,Mike Williams,,,
398,George Mason University,52,1986,,Ricky Wilson,,,
399,"University of California, Irvine",53,1986,,Tod Murphy,,,
400,Pepperdine University,54,1986,,Dwayne Polee,,,
401,Old Dominion University,55,1986,,Kenny Gattison,,,
402,University of Illinois at Urbana-Champaign,57,1986,,Bruce Douglas,,,
403,Duke University,58,1986,,Dave Henderson,,,
404,University of Minnesota,61,1986,,John Shasky,,,
405,University of Nebraska,65,1986,,Dave Hoppen,,,
406,University of Oklahoma,66,1986,,Anthony Bowie,,,
407,St. John's University,67,1986,,Ron Rowan,,,
408,University of Memphis,69,1986,,Andre Turner,,,
409,Bradley University,70,1986,,Jim Les,,,
410,University of Illinois at Urbana-Champaign,74,1986,,Scott Meents,,,
411,Pepperdine University,77,1986,,Grant Gondrezick,,,
412,University of Arkansas at Little Rock,85,1986,,Myron Jackson,,,
413,"University of California, Santa Barbara",89,1986,,Conner Henry,,,
414,University of Michigan,95,1986,,Richard Rellford,,,
415,Cleveland State University,97,1986,,Clinton Smith,,,
416,Boston College,99,1986,,Dominic Pressley,,,
417,San Diego State University,100,1986,,Steffond Johnson,,,
418,University of Arkansas at Little Rock,120,1986,,Pete Myers,,,
419,University of South Florida,122,1986,,Curtis Kitchen,,,
420,University of Notre Dame,124,1986,,Tim Kempton,,,
421,Pepperdine University,133,1986,,Anthony Frederick,,,
422,United States Naval Academy,1,1987,,David Robinson,,,
423,"University of Nevada, Las Vegas",2,1987,,Armen Gilliam,,,
424,Ohio State University,3,1987,,Dennis Hopson,,,
425,Georgetown University,4,1987,,Reggie Williams,,,
426,University of Central Arkansas,5,1987,,Scottie Pippen,,,
427,University of North Carolina,6,1987,,Kenny Smith,,,
428,University of California,7,1987,,Kevin Johnson,,,
429,University of Virginia,8,1987,,Olden Polynice,,,
430,University of Alabama,9,1987,,Derrick McKey,,,
431,Clemson University,10,1987,,Horace Grant,,,
432,"University of California, Los Angeles",11,1987,,Reggie Miller,,,
433,Wake Forest University,12,1987,,Muggsy Bogues,,,
434,University of North Carolina,13,1987,,Joe Wolf,,,
435,Western Kentucky University,14,1987,,Tellis Frank,,,
436,Oregon State University,15,1987,,Jose Ortiz,,,
437,University of Washington,16,1987,,Chris Welp,,,
438,Jacksonville University,17,1987,,Ronnie Murphy,,,
439,St. John's University,18,1987,,Mark Jackson,,,
440,University of Illinois at Urbana-Champaign,19,1987,,Ken Norman,,,
441,University of Alabama,20,1987,,Jim Farmer,,,
442,DePaul University,21,1987,,Dallas Comegys,,,
443,Northeastern University,22,1987,,Reggie Lewis,,,
444,University of Houston,23,1987,,Greg Anderson,,,
445,West Virginia State University,25,1987,,Ron Moore,,,
446,Indiana University,26,1987,,Steve Alford,,,
447,Temple University,27,1987,,Nate Blackwell,,,
448,University of Houston,28,1987,,Rickie Winslow,,,
449,Louisiana State University,30,1987,,Nikita Wilson,,,
450,Loyola University of Chicago,31,1987,,Andre Moore,,,
451,Morehead State University,32,1987,,Bob McCann,,,
452,University of Tennessee,33,1987,,Tony White,,,
453,University of North Carolina at Wilmington,34,1987,,Brian Rowsom,,,
454,Purdue University,35,1987,,Doug Lee,,,
455,Middle Tennessee State University,36,1987,,Duane Washington,,,
456,Kansas State University,38,1987,,Norris Coleman,,,
457,University of Memphis,39,1987,,Vincent Askew,,,
458,Missouri State University,40,1987,,Winston Garland,,,
459,Western Kentucky University,41,1987,,Kannard Johnson,,,
460,University of Iowa,45,1987,,Brad Lohaus,,,
461,Virginia Union University,48,1987,,Jamie Waller,,,
462,University of Washington,50,1987,,Phil Zevenbergen,,,
463,University of Notre Dame,52,1987,,Donald Royal,,,
464,Texas A&M University,53,1987,,Winston Crite,,,
465,Michigan State University,58,1987,,Darryl Johnson,,,
466,University of Iowa,63,1987,,Kevin Gamble,,,
467,Pepperdine University,65,1987,,Eric White,,,
468,Providence College,68,1987,,Billy Donovan,,,
469,Niagara University,74,1987,,Joe Arlauckas,,,
470,Yale University,75,1987,,Chris Dudley,,,
471,"University of California, Los Angeles",79,1987,,Jack Haley,,,
