,college,name,draft_rank,draft_year
304,"California State University, Fullerton",Pape Sow,47,2004
305,Vanderbilt University,Matt Freije,53,2004
306,Manhattan College,Luis Flores,55,2004
307,University of Utah,Andrew Bogut,1,2005
308,University of North Carolina,Marvin Williams,2,2005
309,University of Illinois at Urbana-Champaign,Deron Williams,3,2005
310,Wake Forest University,Chris Paul,4,2005
311,University of North Carolina,Raymond Felton,5,2005
312,University of Connecticut,Charlie Villanueva,7,2005
313,University of Arizona,Channing Frye,8,2005
314,Arizona State University,Ike Diogu,9,2005
315,University of North Carolina,Sean May,13,2005
316,University of North Carolina,Rashad McCants,14,2005
317,Texas A&M University,Antoine Wright,15,2005
318,Oklahoma State University,Joey Graham,16,2005
319,University of New Mexico,Danny Granger,17,2005
320,Syracuse University,Hakim Warrick,19,2005
321,North Carolina State University,Julius Hodge,20,2005
322,University of Washington,Nate Robinson,21,2005
323,Georgia Institute of Technology,Jarrett Jack,22,2005
324,University of Louisville,Francisco Garcia,23,2005
325,University of Illinois at Urbana-Champaign,Luther Head,24,2005
326,University of Cincinnati,Jason Maxiell,26,2005
327,University of Missouri,Linas Kleiza,27,2005
328,University of Kansas,Wayne Simien,29,2005
329,University of Florida,David Lee,30,2005
330,University of Arizona,Salim Stoudamire,31,2005
331,Duke University,Daniel Ewing,32,2005
332,Louisiana State University,Brandon Bass,33,2005
333,Gonzaga University,Ronny Turiaf,37,2005
334,Marquette University,Travis Diener,38,2005
335,Florida State University,Von Wafer,39,2005
336,University of Pittsburgh,Chris Taft,42,2005
337,Indiana University,Bracey Wright,47,2005
338,Providence College,Ryan Gomes,50,2005
339,Walsh University,Robert Whaley,51,2005
340,University of Louisiana at Lafayette,Orien Greene,53,2005
341,"University of California, Los Angeles",Dijon Thompson,54,2005
342,Mississippi State University,Lawrence Roberts,55,2005
343,Pepperdine University,Alex Acker,60,2005
344,University of Texas at Austin,LaMarcus Aldridge,2,2006
345,Gonzaga University,Adam Morrison,3,2006
346,Louisiana State University,Tyrus Thomas,4,2006
347,Duke University,Shelden Williams,5,2006
348,University of Washington,Brandon Roy,6,2006
349,Villanova University,Randy Foye,7,2006
350,University of Connecticut,Rudy Gay,8,2006
351,Bradley University,Patrick O'Bryant,9,2006
352,Duke University,J.J. Redick,11,2006
353,University of Connecticut,Hilton Armstrong,12,2006
354,University of Arkansas,Ronnie Brewer,14,2006
355,North Carolina State University,Cedric Simmons,15,2006
356,University of Memphis,Rodney Carney,16,2006
357,University of Memphis,Shawne Williams,17,2006
358,Rutgers University,Quincy Douby,19,2006
359,University of South Carolina,Renaldo Balkman,20,2006
360,University of Kentucky,Rajon Rondo,21,2006
361,University of Connecticut,Marcus Williams,22,2006
362,University of Connecticut,Josh Boone,23,2006
363,Villanova University,Kyle Lowry,24,2006
364,Michigan State University,Shannon Brown,25,2006
365,"University of California, Los Angeles",Jordan Farmar,26,2006
366,Michigan State University,Maurice Ager,28,2006
367,Temple University,Mardy Collins,29,2006
368,University of Cincinnati,James White,31,2006
369,Marquette University,Steve Novak,32,2006
370,University of South Florida,Solomon Jones,33,2006
371,Michigan State University,Paul Davis,34,2006
372,University of Texas at Austin,P.J. Tucker,35,2006
373,Boston College,Craig Smith,36,2006
374,University of Washington,Bobby Jones,37,2006
375,University of North Carolina,David Noel,39,2006
376,University of Illinois at Urbana-Champaign,James Augustine,41,2006
377,University of Texas at Austin,Daniel Gibson,42,2006
378,Florida State University,Alexander Johnson,45,2006
379,University of Illinois at Urbana-Champaign,Dee Brown,46,2006
380,Louisiana Tech University,Paul Millsap,47,2006
381,University of California,Leon Powe,49,2006
382,"University of California, Los Angeles",Ryan Hollins,50,2006
383,University of Miami,Guillermo Diaz,52,2006
384,University of Arizona,Hassan Adams,54,2006
385,Iowa State University,Will Blalock,60,2006
386,Ohio State University,Greg Oden,1,2007
387,University of Texas at Austin,Kevin Durant,2,2007
388,University of Florida,Al Horford,3,2007
389,Ohio State University,Mike Conley,4,2007
390,Georgetown University,Jeff Green,5,2007
391,University of Florida,Corey Brewer,7,2007
392,University of North Carolina,Brandan Wright,8,2007
393,University of Florida,Joakim Noah,9,2007
394,University of Washington,Spencer Hawes,10,2007
395,Texas A&M University,Acie Law,11,2007
396,Georgia Institute of Technology,Thaddeus Young,12,2007
397,University of Kansas,Julian Wright,13,2007
398,Florida State University,Al Thornton,14,2007
399,Eastern Washington University,Rodney Stuckey,15,2007
400,University of Southern California,Nick Young,16,2007
401,Boston College,Sean Williams,17,2007
402,Georgia Institute of Technology,Javaris Crittenton,19,2007
403,Colorado State University,Jason Smith,20,2007
404,Ohio State University,Daequan Cook,21,2007
405,Boston College,Jared Dudley,22,2007
406,DePaul University,Wilson Chandler,23,2007
407,Rice University,Morris Almond,25,2007
408,University of Oregon,Aaron Brooks,26,2007
409,"University of California, Los Angeles",Arron Afflalo,27,2007
410,University of Wisconsin,Alando Tucker,29,2007
411,Purdue University,Carl Landry,31,2007
412,University of Southern California,Gabe Pruitt,32,2007
413,University of Arizona,Marcus Williams,33,2007
414,"University of Nevada, Reno",Nick Fazekas,34,2007
415,Louisiana State University,Glen Davis,35,2007
416,University of Alabama,Jermareo Davidson,36,2007
417,Duke University,Josh McRoberts,37,2007
418,University of Florida,Chris Richard,41,2007
419,Vanderbilt University,Derrick Byars,42,2007
420,University of Massachusetts Amherst,Stephane Lasme,46,2007
421,"California State University, Fresno",Dominic McGuire,47,2007
422,University of Pittsburgh,Aaron Gray,49,2007
423,Oklahoma State University,JamesOn Curry,51,2007
424,University of Florida,Taurean Green,52,2007
425,Syracuse University,Demetris Nichols,53,2007
426,"University of Nevada, Reno",Ramon Sessions,56,2007
427,University of Maryland,D.J. Strawberry,59,2007
428,University of Memphis,Derrick Rose,1,2008
429,Kansas State University,Michael Beasley,2,2008
430,University of Southern California,O.J. Mayo,3,2008
431,"University of California, Los Angeles",Russell Westbrook,4,2008
432,"University of California, Los Angeles",Kevin Love,5,2008
433,Indiana University,Eric Gordon,7,2008
434,West Virginia University,Joe Alexander,8,2008
435,University of Texas at Austin,D.J. Augustin,9,2008
436,Stanford University,Brook Lopez,10,2008
437,University of Arizona,Jerryd Bayless,11,2008
438,Rider University,Jason Thompson,12,2008
439,University of Kansas,Brandon Rush,13,2008
440,Louisiana State University,Anthony Randolph,14,2008
441,Stanford University,Robin Lopez,15,2008
442,University of Florida,Marreese Speights,16,2008
443,Georgetown University,Roy Hibbert,17,2008
444,"University of Nevada, Reno",JaVale McGee,18,2008
445,North Carolina State University,J.J. Hickson,19,2008
446,University of California,Ryan Anderson,21,2008
447,Western Kentucky University,Courtney Lee,22,2008
448,Ohio State University,Kosta Koufos,23,2008
449,Indiana University-Purdue University Indianapolis,George Hill,26,2008
450,University of Kansas,Darrell Arthur,27,2008
451,Syracuse University,Donte Greene,28,2008
452,Indiana University,D.J. White,29,2008
453,University of New Mexico,J.R. Giddens,30,2008
454,University of Alabama at Birmingham,Walter Sharpe,32,2008
455,University of Memphis,Joey Dorsey,33,2008
456,University of Kansas,Mario Chalmers,34,2008
457,Texas A&M University,DeAndre Jordan,35,2008
458,"University of California, Los Angeles",Luc Mbah a Moute,37,2008
459,Washington State University,Kyle Weaver,38,2008
460,University of Arkansas,Sonny Weems,39,2008
461,University of Memphis,Chris Douglas-Roberts,40,2008
462,University of Virginia,Sean Singletary,42,2008
463,Georgetown University,Patrick Ewing,43,2008
464,Kansas State University,Bill Walker,47,2008
465,University of Oregon,Malik Hairston,48,2008
466,University of California,DeVon Hardin,50,2008
467,University of Kansas,Darnell Jackson,52,2008
468,University of Oregon,Maarty Leunen,54,2008
469,Iowa State University,Mike Taylor,55,2008
470,University of Kansas,Sasha Kaun,56,2008
