,name,per,no_of_seasons,start_age,end_age,g,mp,fg,fga,fg3,fg3a,ft,fta,orb,ast,stl,blk,tov,pf,pts,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,height_in,weight_lb
784,Charlie Ward,13.8,4.0,20,23,91,2687,263,596,74,229,140,220,,396,238,21,212,188,740,.441,.323,.636,29.5,8.1,2.9,4.4,74.0,190.0
785,Brooks Thompson,13.4,4.0,19,23,123,3743,564,1279,270,675,277,368,,573,268,10,292,303,1675,.441,.400,.753,30.4,13.6,3.4,4.7,76.0,193.0
786,Antonio Lang,8.8,4.0,18,21,135,3020,367,644,0,3,278,422,,90,68,106,198,305,1012,.570,.000,.659,22.4,7.5,4.3,0.7,80.0,205.0
787,Howard Eisley,11.5,4.0,18,21,126,4447,529,1191,197,441,373,476,,544,195,16,366,358,1628,.444,.447,.784,35.3,12.9,3.3,4.3,74.0,177.0
788,Jim McIlvaine,10.0,4.0,18,21,118,2714,467,846,,,344,501,,94,29,399,187,295,1278,.552,,.687,23.0,10.8,5.7,0.8,85.0,240.0
789,Derrick Alston,11.7,4.0,18,21,115,3765,741,1320,1,3,420,729,,150,142,229,347,404,1903,.561,.333,.576,32.7,16.5,7.6,1.3,83.0,225.0
790,Gaylon Nickerson,12.9,4.0,20,24,119,1513,717,1545,73,212,331,439,,383,43,18,131,133,1837,.464,.344,.754,25.6,15.4,5.0,3.2,75.0,190.0
791,Michael Smith,13.9,3.0,19,21,94,2724,387,699,0,2,336,560,,104,105,105,187,271,1110,.554,.000,.600,29.0,11.8,11.0,1.1,80.0,230.0
792,Dontonio Wingfield,11.4,1.0,19,19,29,834,162,384,44,109,97,145,,58,39,12,82,91,465,.422,.404,.669,28.8,16.0,9.0,2.0,80.0,256.0
793,Darrin Hancock,10.5,1.0,21,21,34,703,103,190,0,1,50,76,,46,40,7,40,60,256,.542,.000,.658,20.7,7.5,4.5,1.4,79.0,205.0
794,Anthony Miller,13.6,3.0,20,22,89,1939,321,527,1,2,154,264,,66,48,61,152,202,797,.609,.500,.583,21.8,9.0,6.5,0.7,81.0,225.0
795,Jeff Webster,7.0,5.0,18,22,128,3675,917,1753,6,24,441,567,,61,92,79,229,408,2281,.523,.250,.778,28.7,17.8,6.2,0.5,80.0,232.0
796,Shawnelle Scott,13.1,4.0,18,21,113,2821,489,911,0,3,205,365,,87,106,73,159,352,1183,.537,.000,.562,25.0,10.5,6.3,0.8,82.0,250.0
797,Dwayne Morton,11.0,3.0,20,22,95,2812,516,984,111,241,285,401,,177,113,75,199,238,1428,.524,.461,.711,29.6,15.0,4.2,1.9,79.0,195.0
798,Voshon Lenard,13.8,4.0,18,21,127,3772,723,1613,276,755,381,475,,322,173,41,239,327,2103,.448,.366,.802,29.7,16.6,3.8,2.5,76.0,205.0
799,Jamie Watson,9.2,4.0,18,21,115,3315,517,1150,53,214,208,330,,296,152,56,246,230,1295,.450,.248,.630,28.8,11.3,4.7,2.6,79.0,190.0
800,Charles Claxton,0.2,4.0,21,24,116,2778,498,909,3,10,275,558,,102,66,247,217,335,1274,.548,.300,.493,23.9,11.0,7.2,0.9,84.0,265.0
801,Lawrence Funderburke,16.4,4.0,19,23,86,2537,517,961,3,10,212,346,,88,48,137,151,152,1249,.538,.300,.613,29.5,14.5,6.6,1.0,81.0,230.0
802,Anthony Goldwire,12.7,2.0,21,22,57,2105,283,679,62,211,262,329,,334,161,6,153,134,890,.417,.294,.796,36.9,15.6,3.4,5.9,73.0,182.0
803,Joe Smith,15.4,2.0,18,19,64,2098,451,819,11,26,377,511,,65,98,190,131,191,1290,.551,.423,.738,32.8,20.2,10.7,1.0,82.0,225.0
804,Antonio McDyess,17.2,2.0,19,20,59,1479,317,595,0,1,120,192,,32,57,105,131,181,754,.533,.000,.625,25.1,12.8,9.3,0.5,81.0,220.0
805,Jerry Stackhouse,16.5,2.0,19,20,69,1904,353,712,39,110,335,465,,162,92,76,198,129,1080,.496,.355,.720,27.6,15.7,6.6,2.3,78.0,218.0
806,Rasheed Wallace,17.0,2.0,19,20,69,1762,377,594,1,4,144,232,,53,41,156,101,176,899,.635,.250,.621,25.5,13.0,7.4,0.8,82.0,225.0
807,Bryant Reeves,13.8,4.0,18,21,136,4165,874,1495,1,8,618,953,,142,66,194,325,430,2367,.585,.125,.648,30.6,17.4,8.5,1.0,84.0,275.0
808,Damon Stoudamire,15.4,4.0,18,21,123,3666,614,1343,272,677,349,434,,663,174,13,378,247,1849,.457,.402,.804,29.8,15.0,3.8,5.4,70.0,171.0
809,Shawn Respert,11.6,5.0,18,22,119,3931,866,1791,331,728,468,546,,301,139,13,343,242,2531,.484,.455,.857,33.0,21.3,3.5,2.5,73.0,195.0
810,Ed O'Bannon,9.1,4.0,19,22,117,3477,678,1321,91,231,368,498,,208,146,95,258,250,1815,.513,.394,.739,29.7,15.5,7.0,1.8,80.0,222.0
811,Kurt Thomas,13.9,4.0,18,22,103,2066,578,1103,15,60,341,500,,108,87,166,194,283,1512,.524,.250,.682,20.1,14.7,7.6,1.0,81.0,230.0
812,Gary Trent,15.9,3.0,18,20,93,3145,796,1390,17,69,499,726,,186,60,105,309,205,2108,.573,.246,.687,33.8,22.7,11.3,2.0,80.0,250.0
813,Cherokee Parks,12.0,4.0,19,22,131,3463,629,1142,34,102,351,465,,103,93,231,206,270,1643,.551,.333,.755,26.4,12.5,6.7,0.8,83.0,235.0
814,Corliss Williamson,14.9,3.0,19,21,91,2651,657,1127,1,6,413,615,,193,113,94,222,229,1728,.583,.167,.672,29.1,19.0,7.1,2.1,79.0,245.0
815,Eric Williams,11.7,2.0,21,22,60,1822,350,772,29,83,272,404,,112,96,23,132,161,1001,.453,.349,.673,30.4,16.7,5.9,1.9,80.0,220.0
816,Brent Barry,15.7,4.0,20,23,108,3123,437,911,130,377,300,378,,351,199,67,309,267,1304,.480,.345,.794,28.9,12.1,3.7,3.3,78.0,185.0
817,Alan Henderson,14.5,4.0,19,22,124,3596,763,1413,6,26,447,692,,134,148,213,226,345,1979,.540,.231,.646,29.0,16.0,8.8,1.1,81.0,235.0
818,Bob Sura,14.3,4.0,18,21,119,3998,731,1626,214,640,454,696,,435,209,36,405,297,2130,.450,.334,.652,33.6,17.9,6.0,3.7,77.0,200.0
819,Theo Ratliff,14.3,4.0,18,21,111,2926,421,769,1,7,299,492,,74,62,425,207,322,1142,.547,.143,.608,26.4,10.3,5.9,0.7,82.0,225.0
820,Randolph Childress,5.9,4.0,18,22,120,3971,648,1453,329,832,583,725,,472,180,22,379,282,2208,.446,.395,.804,33.1,18.4,3.0,3.9,74.0,188.0
821,Jason Caffey,12.5,4.0,18,21,119,2895,488,959,4,18,259,448,,120,67,67,283,290,1239,.509,.222,.578,24.3,10.4,6.3,1.0,80.0,255.0
