,name,per,no_of_seasons,start_age,end_age,g,mp,fg,fga,fg3,fg3a,ft,fta,orb,ast,stl,blk,tov,pf,pts,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g
442,J.J. Hickson,16.1,1.0,19,19,31,890,163,276,0,1,132,195,,31,22,47,83,,458,.591,.000,.677,28.7,14.8,8.5,1.0
443,Ryan Anderson,17.4,2.0,18,19,66,2178,419,866,122,308,276,328,,63,34,36,74,,1236,.484,.396,.841,33.0,18.7,9.0,1.0
444,Courtney Lee,12.0,4.0,19,22,127,3957,802,1729,245,611,389,476,,281,242,78,84,,2238,.464,.401,.817,31.2,17.6,5.2,2.2
445,Kosta Koufos,15.5,1.0,18,18,37,1003,222,437,22,63,68,100,,19,16,67,55,,534,.508,.349,.680,27.1,14.4,6.7,0.5
446,George Hill,15.2,4.0,18,21,95,3164,536,1013,90,223,457,582,,317,155,29,94,,1619,.529,.404,.785,33.3,17.0,5.8,3.3
447,Darrell Arthur,12.1,2.0,18,19,78,1710,369,682,2,17,144,213,,50,53,109,75,,884,.541,.118,.676,21.9,11.3,5.5,0.6
448,Donte Greene,10.0,1.0,19,19,35,1253,218,521,90,261,94,133,,71,45,57,91,,620,.418,.345,.707,35.8,17.7,7.2,2.0
449,D.J. White,14.5,4.0,18,21,99,3025,548,975,1,3,350,507,,93,68,198,63,,1447,.562,.333,.690,30.6,14.6,7.6,0.9
450,J.R. Giddens,9.7,4.0,18,22,122,3533,618,1333,203,580,186,309,,232,118,94,73,,1625,.464,.350,.602,29.0,13.3,5.7,1.9
451,Walter Sharpe,4.8,3.0,18,21,40,612,111,208,0,3,56,112,,34,22,37,34,,278,.534,.000,.500,15.3,7.0,3.8,0.9
452,Joey Dorsey,12.1,4.0,21,24,149,3231,400,651,0,0,197,469,,81,160,264,41,,997,.614,,.420,21.7,6.7,8.1,0.5
453,Mario Chalmers,12.9,3.0,19,21,110,3137,444,914,180,430,273,356,,420,283,44,75,,1341,.486,.419,.767,28.5,12.2,2.8,3.8
454,DeAndre Jordan,17.9,1.0,19,19,35,703,113,183,0,0,52,119,,15,7,44,57,,278,.617,,.437,20.1,7.9,6.0,0.4
455,Luc Mbah a Moute,10.8,3.0,19,21,107,3155,367,730,20,93,177,265,,168,137,66,62,,931,.503,.215,.668,29.5,8.7,7.2,1.6
456,Kyle Weaver,10.3,4.0,18,21,121,3602,402,866,43,155,315,440,,465,188,93,97,,1162,.464,.277,.716,29.8,9.6,4.7,3.8
457,Sonny Weems,10.1,2.0,20,21,69,2153,358,757,93,254,112,146,,162,90,23,96,,921,.473,.366,.767,31.2,13.3,4.6,2.3
458,Chris Douglas-Roberts,11.5,3.0,19,21,109,2845,555,1028,73,196,362,499,,183,114,49,83,,1545,.540,.372,.725,26.1,14.2,3.7,1.7
459,Sean Singletary,6.7,4.0,19,22,123,4034,642,1583,222,614,573,677,,587,200,7,128,,2079,.406,.362,.846,32.8,16.9,4.0,4.8
460,Patrick Ewing,0.6,4.0,19,23,127,,202,390,32,89,115,197,,129,81,75,54,,551,.518,.360,.584,,4.3,3.4,1.0
461,Henry Walker,10.8,2.0,19,20,37,985,207,454,35,123,117,161,,64,31,17,81,,566,.456,.285,.727,26.6,15.3,6.0,1.7
