,college,draft_rank,draft_year,height_in,name,reach_in,weight_lb,wingspan_in
210,Georgia Institute of Technology,56,2001,,Alvin Jones,,,
211,Duke University,2,2002,72.25,Jay Williams,97.0,197,75.5
212,Duke University,3,2002,80.0,Mike Dunleavy,106.0,230,81.0
213,University of Kansas,4,2002,80.75,Drew Gooden,106.5,227,84.5
214,University of Memphis,6,2002,72.75,Dajuan Wagner,99.0,193,74.0
215,University of Maryland,8,2002,80.25,Chris Wilcox,107.5,218,85.0
216,University of Connecticut,10,2002,77.25,Caron Butler,103.5,222,83.5
217,Indiana University,11,2002,,Jared Jeffries,,,
218,"California State University, Fresno",12,2002,81.0,Melvin Ely,111.0,240,88.0
219,University of Tennessee,13,2002,80.5,Marcus Haislip,107.0,221,84.0
220,University of Oregon,14,2002,74.25,Fred Jones,100.0,218,84.0
221,University of Maryland,17,2002,,Juan Dixon,,,
222,Stanford University,18,2002,82.75,Curtis Borchardt,112.0,238,86.5
223,University of Notre Dame,19,2002,78.0,Ryan Humphrey,104.5,223,84.0
224,University of Missouri,20,2002,76.75,Kareem Rush,103.5,199,81.75
225,Northeast Mississippi Community College,21,2002,79.0,Qyntel Woods,105.0,213,82.0
226,Stanford University,22,2002,,Casey Jacobsen,,,
227,University of Kentucky,23,2002,,Tayshaun Prince,,,
228,University of Illinois at Urbana-Champaign,25,2002,,Frank Williams,,151,79.0
229,University of Miami,26,2002,77.5,John Salmons,104.0,207,82.25
230,"California State University, Fresno",27,2002,,Chris Jefferies,,,
231,Gonzaga University,28,2002,,Dan Dickau,,,
232,University of Virginia,30,2002,,Roger Mason,,,
233,University of Illinois at Urbana-Champaign,31,2002,82.0,Robert Archibald,109.5,250,83.75
234,University of Tennessee,32,2002,77.5,Vincent Yarbrough,104.5,202,84.5
235,"University of California, Los Angeles",33,2002,,Dan Gadzuric,,,
236,Duke University,34,2002,79.75,Carlos Boozer,108.5,258,86.25
237,"California State University, Fresno",37,2002,75.0,Tito Maddox,99.0,200,77.0
238,Shaw University,41,2002,75.0,Ronald Murray,100.5,197,79.5
239,University of Maryland,43,2002,78.25,Lonny Baxter,107.5,264,85.5
240,"University of California, Los Angeles",45,2002,78.75,Matt Barnes,96.5,226,81.0
241,University of California,46,2002,,Jamal Sampson,,,
242,University of Texas at Austin,47,2002,79.0,Chris Owens,104.0,237,83.5
243,Wake Forest University,49,2002,80.0,Darius Songaila,108.5,240,85.0
244,La Salle University,52,2002,78.75,Rasual Butler,105.5,198,84.0
245,Marshall University,53,2002,78.75,Tamar Slay,104.0,203,83.5
246,San Diego State University,56,2002,79.0,Randy Holcomb,105.0,225,85.0
247,Central Connecticut State University,57,2002,79.25,Corsley Edwards,106.5,285,82.75
248,Syracuse University,3,2003,78.25,Carmelo Anthony,105.5,233,84.0
249,Georgia Institute of Technology,4,2003,82.25,Chris Bosh,109.0,225,87.5
250,Marquette University,5,2003,75.75,Dwyane Wade,102.0,212,82.75
251,Central Michigan University,6,2003,83.5,Chris Kaman,110.5,252,83.75
252,University of Kansas,7,2003,74.75,Kirk Hinrich,98.5,186,78.0
253,University of Texas at Austin,8,2003,71.0,T.J. Ford,93.5,162,71.5
254,Georgetown University,9,2003,79.25,Mike Sweetney,107.5,262,85.0
255,University of Georgia,10,2003,,Jarvis Hayes,,,
256,University of Kansas,12,2003,80.75,Nick Collison,108.0,255,85.5
257,"University of Nevada, Las Vegas",13,2003,,Marcus Banks,,,
258,University of Oregon,14,2003,73.0,Luke Ridnour,95.5,167,75.0
259,University of Louisville,15,2003,,Reece Gaines,,,
260,Boston College,16,2003,72.25,Troy Bell,97.5,178,77.0
261,Xavier University,18,2003,80.25,David West,108.5,226,88.25
262,Duke University,20,2003,76.75,Dahntay Jones,102.5,214,81.0
263,University of Illinois at Urbana-Champaign,24,2003,81.5,Brian Cook,109.0,234,86.0
264,Wake Forest University,29,2003,77.25,Josh Howard,105.5,202,86.0
